preferred_ontology_term	MESH	UMLS	EFO	NCIT	OMIM	DOID	Orphanet	HP	MONDO	ICD-10	label
MONDO_0060781	C535269	C2930859							MONDO_0060781		Preeyasombat-Varavithya syndrome
MONDO_0008307	C535273	C1867772			OMIM_176600				MONDO_0008307		"presenile dementia, Kraepelin type"
MONDO_0010667	C535274			NCIT_C18058	OMIM_309610	DOID_0060805	Orphanet_2958		MONDO_0010667		Prieto syndrome
MONDO_0000290	C535275	C4303098|C0300934				DOID_0050242			MONDO_0000290		primary amebic meningoencephalitis
MONDO_0011718	C535277	C1847554			OMIM_606763	DOID_0110626			MONDO_0011718	Q34.8	primary ciliary dyskinesia 2
MONDO_0012085	C535278	C1837618			OMIM_608644	DOID_0110599			MONDO_0012085	Q34.8	primary ciliary dyskinesia 3
MONDO_0012087	C535279	C1837616			OMIM_608646	DOID_0110614			MONDO_0012087	Q34.8	primary ciliary dyskinesia 4
MONDO_0010718	C535281	C1839410			OMIM_312190		Orphanet_3016		MONDO_0010718		absent radius-anogenital anomalies syndrome
MONDO_0009821	C535282	C1850106			OMIM_259775		Orphanet_1832		MONDO_0009821	Q78.2	lethal osteosclerotic bone dysplasia
MONDO_0010177	C535283|C564750	C2930864			OMIM_277175		Orphanet_3018		MONDO_0010177	E78.8	retinal ischemic syndrome-digestive tract small vessel hyalinosis-diffuse cerebral calcifications syndrome
MONDO_0009954	C535285	C0796133			OMIM_266270		Orphanet_3019		MONDO_0009954	Q87.8	Ramon syndrome
MONDO_0007382	C535286	C2930866			OMIM_122430		Orphanet_1051		MONDO_0007382	Q87.8	Ramos-Arroyo syndrome
MONDO_0009955	C535288	C1849453			OMIM_266280	DOID_0050774	Orphanet_3021		MONDO_0009955	Q87.1	rapadilino syndrome
MONDO_0007508	C535289	CN203427			OMIM_129400	DOID_0060330			MONDO_0007508		Rapp-Hodgkin syndrome
MONDO_0007587	C535290	C2930867			OMIM_133705		Orphanet_3023		MONDO_0007587	Q87.8	external auditory canal atresia-vertical talus-hypertelorism syndrome
MONDO_0016019	C535291	C2930868		NCIT_C125384			Orphanet_1929		MONDO_0016019	G04.8	Rasmussen subacute encephalitis
MONDO_0011235	C535292|C535548	C1865294|C2930869			OMIM_602484		Orphanet_2840		MONDO_0011235		pelvic dysplasia-arthrogryposis of lower limbs syndrome
MONDO_0015057	C535293				OMIM_300909		Orphanet_100057		MONDO_0015057	T78.3	renin-angiotensin-aldosterone system-blocker-induced angioedema
MONDO_0008838	C535295				OMIM_208850		Orphanet_1188		MONDO_0008838	G11.1	ataxia - deafness - intellectual disability syndrome
MONDO_0008365	C535296	C0795822			OMIM_179613		Orphanet_96167		MONDO_0008365	Q99.8	recombinant 8 syndrome
MONDO_0018955	C535297	C1168198		NCIT_C128637			Orphanet_60032		MONDO_0018955		recurrent respiratory papillomatosis
MONDO_0008367	C535298	C1867339			OMIM_179700				MONDO_0008367		red cell phospholipid defect with hemolysis
MONDO_0021952	C535299	C1260879							MONDO_0021952		autoimmune progesterone dermatitis
MONDO_0007038	C535300	C1863416	EFO_0007887		OMIM_100820				MONDO_0007038		Achoo syndrome
MONDO_0011527	C535301				OMIM_605253	DOID_0110195	Orphanet_99951		MONDO_0011527	G60.0	Charcot-Marie-Tooth disease type 4E
MONDO_0010550	C535302	C1844873			OMIM_302801	DOID_0110208	Orphanet_101076		MONDO_0010550	G60.0	Charcot-Marie-Tooth disease X-linked recessive 2
MONDO_0010551	C535303	C1844865			OMIM_302802	DOID_0110211	Orphanet_101077		MONDO_0010551	G60.0	Charcot-Marie-Tooth disease X-linked recessive 3
MONDO_0022323	C535305	C2930873							MONDO_0022323		2-hydroxyethyl methacrylate sensitization
MONDO_0016001	C535306	C2746066		NCIT_C128187		DOID_0050573	Orphanet_19		MONDO_0016001	E72.8	2-hydroxyglutaric aciduria
MONDO_0022321	C535307	C2930874							MONDO_0022321		2-methylacetoacetyl CoA thiolase deficiency
MONDO_0008861	C535308	CN028786			OMIM_210200				MONDO_0008861		3-methylcrotonyl-CoA carboxylase 1 deficiency
MONDO_0008862	C535309				OMIM_210210				MONDO_0008862		3-methylcrotonyl-CoA carboxylase 2 deficiency
MONDO_0009278	C535310				OMIM_231530		Orphanet_71212		MONDO_0009278	E71.3	hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency
MONDO_0009787	C535311	C0574084			OMIM_258501	DOID_0110004	Orphanet_67047		MONDO_0009787	E71.1	3-methylglutaconic aciduria type 3
MONDO_0009371	C535312	C0342737			OMIM_236795		Orphanet_939		MONDO_0009371	E71.1	3-hydroxyisobutyric aciduria
MONDO_0019078	C535313	C0796137				DOID_0060565	Orphanet_7		MONDO_0019078	Q87.8	Ritscher-Schinzel syndrome
MONDO_0007477	C535314	C1851996|C1848862			OMIM_126950	DOID_0060241	Orphanet_2616		MONDO_0007477	Q87.1	3-M syndrome
MONDO_0022330	C535315								MONDO_0022330		4-hydroxyphenylacetic aciduria
MONDO_0015228	C535319	C0265497		NCIT_C89802			Orphanet_11		MONDO_0015228	Q97.1	pentasomy X
MONDO_0022333	C535321	C2930876							MONDO_0022333		5-nucleotidase syndrome
MONDO_0009825	C535322	C0268525			OMIM_260005		Orphanet_33572	HP_0040142	MONDO_0009825	E72.8	5-oxoprolinase deficiency
MONDO_0007925	C535323	CN206233		NCIT_C6867	OMIM_153550	DOID_0090016	Orphanet_86841		MONDO_0007925	D46.7	chromosome 5q deletion syndrome
MONDO_0009863	C535325	C0878676		NCIT_C138171	OMIM_261640	DOID_0090106	Orphanet_13		MONDO_0009863	E70.1	BH4-deficient hyperphenylalaninemia A
MONDO_0007732	C535326	C0265264		NCIT_C125592	OMIM_142900	DOID_0060468	Orphanet_392		MONDO_0007732	Q87.2	Holt-Oram syndrome
MONDO_0009350	C535327	C1856095			OMIM_236110	DOID_0060566	Orphanet_2167		MONDO_0009350	Q87.8	Holzgreve-Wagner-Rehder syndrome
MONDO_0009351	C535328	C0268632|C3495554			OMIM_236130	DOID_0060177	Orphanet_2168		MONDO_0009351	E72.8	homocarnosinosis
MONDO_0009355	C535329	C0268479			OMIM_236300				MONDO_0009355		Hooft disease
MONDO_0008966	C535330	C0268314		NCIT_C35709	OMIM_214900	DOID_6691	Orphanet_1414		MONDO_0008966	Q82.0	Aagenaes syndrome
MONDO_0010589	C535331			NCIT_C129720	OMIM_305400		Orphanet_915		MONDO_0010589	Q87.1	"Aarskog-Scott syndrome, X-linked"
MONDO_0007839	C535332	C0220686			OMIM_147800		Orphanet_916		MONDO_0007839	Q87.8	Aase-Smith syndrome
MONDO_0010895	C535334	C1838099|CN206498			OMIM_600501	DOID_0050600	Orphanet_918		MONDO_0010895		ABCD syndrome
MONDO_0021725	C535335	C2930877							MONDO_0021725		Abderhalden-Kaufmann-Lignac syndrome
MONDO_0008923	C535336	C1859316			OMIM_212360		Orphanet_1366		MONDO_0008923	Q82.8|Q84.0	autosomal recessive palmoplantar keratoderma and congenital alopecia
MONDO_0012395	C535337				OMIM_610019	DOID_0110238			MONDO_0012395	Q12.0	cataract 18
MONDO_0010544	C535338				OMIM_302200	DOID_0110272			MONDO_0010544	Q12.0	cataract 40
MONDO_0021548	C535341	C0266539					Orphanet_98994		MONDO_0021548	Q12.0	total early-onset cataract
MONDO_0007290	C535342				OMIM_116800	DOID_0110255			MONDO_0007290	Q12.0	cataract 5 multiple types
MONDO_0020379	C535342	CN207251					Orphanet_98995		MONDO_0020379	Q12.0	early-onset zonular cataract
MONDO_0011547	C535343				OMIM_605387	DOID_0110265			MONDO_0011547	Q12.0	cataract 31 multiple types
MONDO_0012527	C535344				OMIM_610623	DOID_0110249			MONDO_0012527	Q12.0	cataract 11 multiple types
MONDO_0010380	C535345	C1845094			OMIM_300619				MONDO_0010380		"cataract, ataxia, short stature, and mental retardation"
MONDO_0022109	C535346	C1861799							MONDO_0022109		catatrichy
MONDO_0014507	C535347	C1844887			OMIM_616145		Orphanet_1388		MONDO_0014507	Q87.8	Catel-Manzke syndrome
MONDO_0007443	C535349	C0431406			OMIM_125520		Orphanet_1166		MONDO_0007443	Q87.0	congenital unilateral hypoplasia of depressor anguli oris
MONDO_0008934	C535350	C1859306			OMIM_212835		Orphanet_1174		MONDO_0008934	G11.1	cerebellar ataxia-ectodermal dysplasia syndrome
MONDO_0011038	C535351				OMIM_601338		Orphanet_1171		MONDO_0011038		cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome
MONDO_0008940	C535353	C1859301			OMIM_213002		Orphanet_85186		MONDO_0008940	Q87.8	endosteal sclerosis-cerebellar hypoplasia syndrome
MONDO_0011061	C535355	C1832422			OMIM_601372				MONDO_0011061		"chorea, remitting, with nystagmus and cataract"
MONDO_0010932	C535356	C1833321			OMIM_600790		Orphanet_75373		MONDO_0010932		progressive bifocal chorioretinal atrophy
MONDO_0008981	C535357	C1859092			OMIM_215480		Orphanet_1313		MONDO_0008981	G93.8	infantile choroidocerebral calcification syndrome
MONDO_0004885	C535358					DOID_980			MONDO_0004885	H31.1|H31.10	choroidal sclerosis
MONDO_0008982	C535358						Orphanet_75377		MONDO_0008982	H31.2	central areolar choroidal dystrophy
MONDO_0015430	C535361	C1519099|CN036412|C0265395		NCIT_C36474			Orphanet_1437		MONDO_0015430	Q93.2	ring chromosome 1
MONDO_0011929	C535362	C1842870		NCIT_C74983	OMIM_607872	DOID_0060410	Orphanet_1606		MONDO_0011929	Q93.5	chromosome 1p36 deletion syndrome
MONDO_0016953	C535367	C0795805					Orphanet_262842		MONDO_0016953		partial duplication of the long arm of chromosome 2
MONDO_0015436	C535369|C580424	C0265482|C2930886					Orphanet_1444		MONDO_0015436	Q93.2	ring chromosome 20
MONDO_0016898	C535370	CN036364					Orphanet_261992		MONDO_0016898	Q93.5	partial monosomy of the short arm of chromosome 20
MONDO_0016844	C535371	C0265480|C2930888					Orphanet_261318		MONDO_0016844	Q92.2	trisomy 20p
MONDO_0022757	C535372	C0265479		NCIT_C36397					MONDO_0022757		chromosome 20 trisomy
MONDO_0009095	C535373	C1857301			OMIM_221810		Orphanet_1657		MONDO_0009095		"dermatoosteolysis, Kirghizian type"
MONDO_0007445	C535374	C0406778			OMIM_125595		Orphanet_86920		MONDO_0007445	Q82.4	dermatopathia pigmentosa reticularis
MONDO_0009094	C535375	C0432288			OMIM_221800		Orphanet_79149		MONDO_0009094		dermochondrocorneal dystrophy
MONDO_0010579	C535376	C1844671			OMIM_304730		Orphanet_1661		MONDO_0010579	Q13.4	X-linked corneal dermoid
MONDO_0009183	C535377	C1856934			OMIM_226730	DOID_0060733	Orphanet_79403		MONDO_0009183	Q81.8	junctional epidermolysis bullosa with pyloric atresia
MONDO_0010532	C535380	C1844934			OMIM_301830		Orphanet_1145		MONDO_0010532	G12.1	infantile-onset X-linked spinal muscular atrophy
MONDO_0012390	C535381	C1864939			OMIM_610001				MONDO_0012390		"arthrogryposis multiplex with deafness, inguinal hernias, and early death"
MONDO_0017123	C535382	C1859722				DOID_0050763	Orphanet_2697		MONDO_0017123	Q89.7	arthrogryposis-renal dysfunction-cholestasis syndrome
MONDO_0007364	C535384	C1852597			OMIM_121070				MONDO_0007364		"arthrogryposis, distal, type 2E"
MONDO_0008820	C535385	C1859724			OMIM_208080				MONDO_0008820		"arthrogryposis, distal, with hypopituitarism, mental retardation, and facial anomalies"
MONDO_0007159	C535386	C1862471			OMIM_108200		Orphanet_1144		MONDO_0007159	Q68.8	arthrogryposis-like hand anomaly-sensorineural deafness syndrome
MONDO_0008827	C535387				OMIM_208230	DOID_0090004	Orphanet_1159		MONDO_0008827	Q77.7	progressive pseudorheumatoid arthropathy of childhood
MONDO_0010533	C535388	C0796028			OMIM_301835	DOID_0050647	Orphanet_1187		MONDO_0010533	E79.8	Arts syndrome
MONDO_0021935	C535390								MONDO_0021935		aspergillus niger infection
MONDO_0021937	C535391	C2930890							MONDO_0021937		Asrar Facharzt Haque syndrome
MONDO_0019408	C535392	C1300228					Orphanet_85175		MONDO_0019408	Q77.3	Astley-Kendall dysplasia
MONDO_0010188	C535393	C1848533			OMIM_277460	DOID_0090028	Orphanet_96		MONDO_0010188	G11.1	familial isolated deficiency of vitamin E
MONDO_0009727	C535395	C1850555|C1850554|C0432203			OMIM_256050		Orphanet_56304		MONDO_0009727	Q77.5	atelosteogenesis type II
MONDO_0007167	C535396	C0265283			OMIM_108720		Orphanet_1190		MONDO_0007167	Q78.8	atelosteogenesis type I
MONDO_0011099	C535397	C1832215			OMIM_601536	DOID_0050682	Orphanet_69739		MONDO_0011099		Athabaskan brainstem dysgenesis syndrome
MONDO_0023209	C535402								MONDO_0023209		galactorrhoea-hyperprolactinaemia
MONDO_0009362	C535406	C1856052			OMIM_236640		Orphanet_3035		MONDO_0009362	Q87.8	growth delay-hydrocephaly-lung hypoplasia syndrome
MONDO_0013166	C535407	C0342708			OMIM_613163	DOID_0060174	Orphanet_2066		MONDO_0013166	E72.8	GABA aminotransferase deficiency
MONDO_0009058	C535408	C0268616|C3495552|C0220993		NCIT_C129070	OMIM_219500	DOID_0090142	Orphanet_212	HP_0003153	MONDO_0009058	E72.1	cystathioninuria
MONDO_0008224	C535409|D020513	CN074266|C0238357|C2930895		NCIT_C123429	OMIM_170500	DOID_14451	Orphanet_682		MONDO_0008224	G72.3	hyperkalemic periodic paralysis
MONDO_0011687	C535413	C4304675|C1847823			OMIM_606595	DOID_0110163	Orphanet_99940		MONDO_0011687	G60.0	Charcot-Marie-Tooth disease axonal type 2F
MONDO_0011901	C535415	C1843173			OMIM_607731	DOID_0110166	Orphanet_101102		MONDO_0011901	G60.0	Charcot-Marie-Tooth disease axonal type 2H
MONDO_0011903	C535417				OMIM_607736	DOID_0110157	Orphanet_99943		MONDO_0011903	G60.0	Charcot-Marie-Tooth disease type 2J
MONDO_0008961	C535419	C1859198			OMIM_214400	DOID_0110185	Orphanet_99948		MONDO_0008961	G60.0	Charcot-Marie-Tooth disease type 4A
MONDO_0011066	C535420	C1832399			OMIM_601382	DOID_0110191	Orphanet_99955		MONDO_0011066	G60.0	Charcot-Marie-Tooth disease type 4B1
MONDO_0011475	C535421	C1858278			OMIM_604563	DOID_0110190	Orphanet_99956		MONDO_0011475	G60.0	Charcot-Marie-Tooth disease type 4B2
MONDO_0011113	C535423	C1866636		NCIT_C129864	OMIM_601596	DOID_0110183	Orphanet_99949		MONDO_0011113	G60.0	Charcot-Marie-Tooth disease type 4C
MONDO_0019145	C535424|D020151			NCIT_C99025		DOID_3756	Orphanet_745		MONDO_0019145	D68.59|D68.2	hereditary thrombophilia due to congenital protein C deficiency
MONDO_0008583	C535425			NCIT_C4811	OMIM_189600			HP_0000473	MONDO_0008583		inherited torticollis
MONDO_0016301	C535426	C3274488|C0344616		NCIT_C98902			Orphanet_216694		MONDO_0016301	Q20.5	congenitally corrected transposition of the great arteries
MONDO_0015457	C535427	C2930897					Orphanet_1492		MONDO_0015457		corpus callosum agenesis-double urinary collecting system syndrome
MONDO_0021994	C535432	C2930899							MONDO_0021994		Berk-Tabatznik syndrome
MONDO_0008760	C535434			NCIT_C98841	OMIM_203750	DOID_14723	Orphanet_134		MONDO_0008760	E71.1	beta-ketothiolase deficiency
MONDO_0016142	C535435	C2930900					Orphanet_207063		MONDO_0016142		qualitative or quantitative defects of beta-sarcoglycan
MONDO_0008029	C535436	C1834674		NCIT_C126688		DOID_0050663	Orphanet_610		MONDO_0008029	G71.0	Bethlem myopathy
MONDO_0022567	C535437	C2930901							MONDO_0022567		bhaskar jagannathan syndrome
MONDO_0022568	C535438	C2930902							MONDO_0022568		bidirectional tachycardia
MONDO_0008865	C535440	C1859486			OMIM_210370	DOID_0050664	Orphanet_41751		MONDO_0008865	H15.5	Bietti crystalline corneoretinal dystrophy
MONDO_0000110	C535441	C0221363|CN227089					Orphanet_2695		MONDO_0000110	Q30.2	bifid nose
MONDO_0011906	C535442	C1843116			OMIM_607765	DOID_0111071	Orphanet_79301		MONDO_0011906	K76.8	congenital bile acid synthesis defect 1
MONDO_0009339	C535443	C1856127			OMIM_235555	DOID_0111069	Orphanet_79303		MONDO_0009339	K76.8	congenital bile acid synthesis defect 2
MONDO_0008967	C535444	C1858328			OMIM_214950	DOID_0111068	Orphanet_79095		MONDO_0008967	K76.8	congenital bile acid synthesis defect 4
MONDO_0008870	C535448	C1859468			OMIM_210700		Orphanet_2617		MONDO_0008870	Q87.1	"bird headed-dwarfism, Montreal type"
MONDO_0016911	C535449			NCIT_C36497			Orphanet_262101		MONDO_0016911	Q93.5	partial deletion of the long arm of chromosome 13
MONDO_0022746	C535450	CN037021							MONDO_0022746		chromosome 13p duplication
MONDO_0020490	C535454	C2930908|CN035918					Orphanet_99776		MONDO_0020490	Q92.1	mosaic trisomy 9
MONDO_0009813	C535456	C0410422		NCIT_C119042	OMIM_259680	DOID_0060645	Orphanet_324964	HP_0005901	MONDO_0009813	M86.3	chronic recurrent multifocal osteomyelitis
MONDO_0009671	C535458	C1854663			OMIM_253320		Orphanet_3068		MONDO_0009671	Q87.8	intellectual disability-myopathy-short stature-endocrine defect syndrome
MONDO_0011411	C535459	C1858695			OMIM_604213		Orphanet_314597		MONDO_0011411		Chudley-McCullough syndrome
MONDO_0009528	C535460	C0795956			OMIM_246700	DOID_0060357	Orphanet_71		MONDO_0009528	E78.3|E78.6	chylomicron retention disease
MONDO_0011331	C535461	C0340014			OMIM_603523	DOID_0060646	Orphanet_264688		MONDO_0011331	I89.8	congenital chylothorax
MONDO_0015373	C535463	C1849437					Orphanet_140969		MONDO_0015373	Q87.5	Saldino-Mainzer syndrome
MONDO_0007368	C535468	C1852576			OMIM_121270		Orphanet_1551		MONDO_0007368	E83.0	familial benign copper deficiency
MONDO_0011978	C535470	C1842463			OMIM_608158				MONDO_0011978		CoQ-responsive OXPHOS deficiency
MONDO_0007371	C535471	C1852558			OMIM_121390				MONDO_0007371		cornea guttata with anterior polar cataracts
MONDO_0010063	C535472	C1849087			OMIM_271310		Orphanet_3177		MONDO_0010063	G11.1	corneal-cerebellar syndrome
MONDO_0009015	C535473	C1857572			OMIM_217400		Orphanet_1490		MONDO_0009015	H18.5	corneal dystrophy-perceptive deafness syndrome
MONDO_0011855	C535474	C1275685			OMIM_607541	DOID_0060444	Orphanet_98963		MONDO_0011855	H18.5	granular corneal dystrophy type II
MONDO_0007374	C535475	C0271287			OMIM_121800	DOID_0060456	Orphanet_98967		MONDO_0007374	H18.5	Schnyder corneal dystrophy
MONDO_0012043	C535476	C0339278			OMIM_608470	DOID_0060453	Orphanet_98961		MONDO_0012043	H18.5	Reis-Bucklers corneal dystrophy
MONDO_0007375	C535477				OMIM_121820	DOID_0060447	Orphanet_98956		MONDO_0007375	H18.5	epithelial basement membrane dystrophy
MONDO_0007637	C535478	C1850959			OMIM_136800				MONDO_0007637		"corneal dystrophy, Fuchs endothelial, 1"
MONDO_0008777	C535480	C0339273		NCIT_C142805	OMIM_204870	DOID_0060449	Orphanet_98957		MONDO_0008777	H18.5	gelatinous drop-like corneal dystrophy
MONDO_0023186	C535481	C2930912							MONDO_0023186		Fraser Jequier Chen syndrome
MONDO_0008675	C535483	C0265224		NCIT_C98931	OMIM_193700		Orphanet_2053		MONDO_0008675	Q87.0	freeman-Sheldon syndrome
MONDO_0013481	C535484			NCIT_C36421	OMIM_613884	DOID_0060391	Orphanet_1587		MONDO_0013481	Q93.5	chromosome 13q14 deletion syndrome
MONDO_0022177	C535485	C0795849							MONDO_0022177		chromosome 13q trisomy
MONDO_0022178	C535486	CN037259							MONDO_0022178		chromosome 13q-mosaicism
MONDO_0014708	C535487	C2930916|CN233170			OMIM_616606		Orphanet_1440		MONDO_0014708	Q93.2	ring chromosome 14
MONDO_0015725	C535489	C2930917		NCIT_C116319			Orphanet_1703		MONDO_0015725	Q92.1	mosaic trisomy 14
MONDO_0009177	C535492	C1856969			OMIM_226440		Orphanet_231556		MONDO_0009177	Q81.8	late-onset localized junctional epidermolysis bullosa-intellectual disability syndrome
MONDO_0012323	C535493	C1864826			OMIM_609638		Orphanet_158687		MONDO_0012323	Q81.0	lethal acantholytic epidermolysis bullosa
MONDO_0007552	C535494				OMIM_131850		Orphanet_79410		MONDO_0007552	Q81.2	pretibial dystrophic epidermolysis bullosa
MONDO_0011876	C535495	C4317339|C2930918		NCIT_C129868	OMIM_607631	DOID_0060172	Orphanet_1941		MONDO_0011876	G40.3	juvenile absence epilepsy
MONDO_0009187	C535496	C1856930			OMIM_226810		Orphanet_1459		MONDO_0009187		celiac disease-epilepsy-cerebral calcification syndrome
MONDO_0009188	C535497	C1856929			OMIM_226850		Orphanet_1951		MONDO_0009188	G40.8	epilepsy-telangiectasia syndrome
MONDO_0011970	C535499	C1842531			OMIM_608105		Orphanet_163727		MONDO_0011970		rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome
MONDO_0007561	C535501	C4275061|C1838280			OMIM_132400	DOID_0070303	Orphanet_93308		MONDO_0007561	Q77.3	multiple epiphyseal dysplasia type 1
MONDO_0010844	C535502	C1838429			OMIM_600204	DOID_0070298			MONDO_0010844		"epiphyseal dysplasia, multiple, 2"
MONDO_0010964	C535503	C1832998			OMIM_600969	DOID_0070304			MONDO_0010964		"epiphyseal dysplasia, multiple, 3"
MONDO_0009189	C535504	C1847593			OMIM_226900	DOID_0070300	Orphanet_93307		MONDO_0009189	Q77.3	multiple epiphyseal dysplasia type 4
